,id,population_mean,region,district,year
40478,878805490,2,43,500801,2020
49560,878791139,638,43,500801,2020
5024,831486982,16,43,500852,2019
9845,831508470,66,43,500852,2019
13861,831400945,61,43,500852,2019
24862,831423390,12,43,500852,2019
31215,831486984,17,43,500852,2019
38294,831465630,28,43,500852,2019
45271,831465631,5,43,500852,2019
51851,831465632,2534,43,500852,2019
4225,878802538,26,43,500852,2020
11747,878878195,50,43,500852,2020
13781,878853891,69,43,500852,2020
20672,878829613,-9,43,500852,2020
26871,878853892,-28,43,500852,2020
33789,878805494,17,43,500852,2020
44066,878789599,-19,43,500852,2020
47143,878805500,2533,43,500852,2020
3352,831508474,23,43,500861,2019
11543,831486987,39,43,500861,2019
18305,831423396,30,43,500861,2019
25610,831465633,-7,43,500861,2019
26685,831397095,2,43,500861,2019
37332,831486985,16,43,500861,2019
44411,831444658,9,43,500861,2019
47177,831402347,1502,43,500861,2019
5546,878902407,21,43,500861,2020
9500,878795148,50,43,500861,2020
13782,878853897,22,43,500861,2020
20673,878829615,-8,43,500861,2020
29966,878789936,20,43,500861,2020
33282,878853896,13,43,500861,2020
44935,878902408,28,43,500861,2020
48836,878790815,1504,43,500861,2020
1934,831401052,8,43,500879,2019
12529,831465640,27,43,500879,2019
16436,831508480,24,43,500879,2019
22254,831388159,0,43,500879,2019
27580,831388572,3,43,500879,2019
38295,831465638,8,43,500879,2019
44517,831423402,3,43,500879,2019
49170,831508482,817,43,500879,2019
5489,878878200,7,43,500879,2020
9877,878785050,27,43,500879,2020
14155,878829621,23,43,500879,2020
25163,878878201,0,43,500879,2020
31812,878902412,4,43,500879,2020
38031,878878199,7,43,500879,2020
44884,878878202,4,43,500879,2020
51401,878878204,827,43,500879,2020
5996,831465650,20,43,501476,2019
9848,831508494,69,43,501476,2019
14880,831391853,39,43,501476,2019
25351,831423416,3,43,501476,2019
32201,831465652,33,43,501476,2019
38335,831487005,23,43,501476,2019
41852,831393361,30,43,501476,2019
49171,831508496,1992,43,501476,2019
4607,878796769,21,43,501476,2020
7201,878853901,42,43,501476,2020
16704,878787000,45,43,501476,2020
22543,878784754,-1,43,501476,2020
26872,878853903,-4,43,501476,2020
33283,878853900,20,43,501476,2020
40388,878829622,-3,43,501476,2020
50165,878795592,2006,43,501476,2020
1587,831397597,23,43,501646,2019
12530,831465654,86,43,501646,2019
18700,831444682,79,43,501646,2019
20216,831403419,3,43,501646,2019
31823,831444684,10,43,501646,2019
33008,831380316,26,43,501646,2019
40660,831387519,7,43,501646,2019
51852,831465658,2780,43,501646,2019
5490,878878211,24,43,501646,2020
7202,878853906,94,43,501646,2020
14156,878829627,39,43,501646,2020
25535,878902418,8,43,501646,2020
26873,878853907,63,43,501646,2020
38315,878878210,32,43,501646,2020
43867,878786166,55,43,501646,2020
51796,878902420,2821,43,501646,2020
6166,831487022,9,43,501751,2019
12708,831487023,76,43,501751,2019
19261,831487025,33,43,501751,2019
20253,831389203,16,43,501751,2019
32358,831487026,59,43,501751,2019
35789,831508512,25,43,501751,2019
40803,831402607,43,43,501751,2019
51462,831444694,1707,43,501751,2019
3851,878789231,20,43,501751,2020
11121,878800987,43,43,501751,2020
16181,878796149,25,43,501751,2020
21195,878805510,2,43,501751,2020
29488,878801138,20,43,501751,2020
33284,878853909,22,43,501751,2020
40389,878829632,18,43,501751,2020
47447,878805511,1763,43,501751,2020
431,831394386,16,43,501794,2019
6873,831398248,35,43,501794,2019
